Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'Guesthouse',","   '32872403',","    38,","    114,","    1302,"
"    'Guesthouse',","   '33312932',","    82,","    40,","    1000,"
"    'Guesthouse',","   '33681750',","    70,","    48,","    1016,"
"    'Guesthouse',","   '33883824',","    91,","    75,","    2085,"
"    'Guesthouse',","   '34313056',","    38,","    94,","    1089,"
"    'Guesthouse',","   '39524829',","    85,","    100,","    2583,"
"    'Guesthouse',","   '39749565',","    75,","    68,","    1553,"
"    'Guesthouse',","   '41088147',","    79,","    65,","    1555,"
"    'Guesthouse',","   '41400954',","    71,","    60,","    1300,"
"    'Guesthouse',","   '41733884',","    77,","    70,","    1633,"
"    'Guesthouse',","   '41791210',","    16,","    59,","    290,"
"    'Guesthouse',","   '41955627',","    35,","    60,","    645,"
"    'Guesthouse',","   '43777089',","    39,","    133,","    1560,"
"    'Guesthouse',","   '45575365',","    72,","    40,","    867,"
"    'Guesthouse',","   '45655738',","    48,","    72,","    1039,"
"    'Guesthouse',","   '45719219',","    90,","    65,","    1755,"
"    'Guesthouse',","   '45724953',","    67,","    75,","    1525,"
"    'Guesthouse',","   '45908142',","    56,","    40,","    680,"
"    'Guesthouse',","   '46134070',","    60,","    94,","    1692,"
"    'Guesthouse',","   '46709974',","    52,","    59,","    932,"
"    'Guesthouse',","   '47815719',","    0,","    75,","    0,"
"    'Guesthouse',","   '48428658',","    62,","    89,","    1691,"
"    'Guesthouse',","   '48448218',","    82,","    60,","    1500,"
"    'Guesthouse',","   '6325178',","    86,","    85,","    2231,"
"    'Guesthouse',","   '688447',","    56,","    90,","    1545,"
"    'House',","   '10342217',","    82,","    253,","    6325,"
"    'House',","   '10536470',","    47,","    160,","    2293,"
"    'House',","   '11165670',","    79,","    144,","    3468,"
"    'House',","   '11618906',","    50,","    199,","    3035,"
"    'House',","   '11665281',","    55,","    80,","    1340,"
"    'House',","   '11922719',","    84,","    45,","    1148,"
"    'House',","   '11928376',","    75,","    89,","    2032,"
"    'House',","   '12131094',","    66,","    90,","    1815,"
"    'House',","   '14180206',","    21,","    148,","    962,"
"    'House',","   '14239433',","    82,","    70,","    1744,"
"    'House',","   '14471505',","    53,","    92,","    1495,"
"    'House',","   '14662246',","    63,","    117,","    2252,"
"    'House',","   '14809424',","    56,","    88,","    1503,"
"    'House',","   '15834424',","    69,","    124,","    2614,"
"    'House',","   '16436645',","    78,","    68,","    1621,"
"    'House',","   '16487922',","    90,","    75,","    2044,"
"    'House',","   '16584404',","    18,","    86,","    459,"
"    'House',","   '16855527',","    76,","    85,","    1969,"
"    'House',","   '16896157',","    90,","    674,","    18367,"
"    'House',","   '17434896',","    47,","    127,","    1799,"
